%time,field.time_arr,field.d_arr0,field.d_arr1,field.d_arr2,field.d_arr3,field.d_arr4
1651798205649021561,2243190016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205649050407,2243190016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205649083026,2243190016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205649100783,2243190016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205649113509,2243190016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205651048139,2243192064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205651089982,2243192064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205651108291,2243192064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205651132550,2243192064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205651145329,2243192064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205653089985,2243194112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205653126964,2243194112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205653167387,2243194112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205653188866,2243194112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205653204656,2243194112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205655073813,2243195904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205655113078,2243195904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205655150728,2243195904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205655168292,2243195904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205655188412,2243195904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205657138006,2243197952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205657157073,2243197952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205657171927,2243197952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205657185174,2243197952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205657198595,2243197952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205659087376,2243200000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205659115881,2243200000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205659145735,2243200000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205659170572,2243200000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205659204044,2243200000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205661175325,2243202048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205661195087,2243202048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205661248079,2243202048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205661266642,2243202048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205661274951,2243202048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205663332012,2243204096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205663348736,2243204096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205663360147,2243204096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205663384179,2243204096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205663393634,2243204096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205665336273,2243205888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205665363167,2243205888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205665375259,2243205888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205665395940,2243205888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205665409304,2243205888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205667329710,2243207936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205667357314,2243207936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205667373324,2243207936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205667424993,2243207936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205667434184,2243207936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205669334344,2243209984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205669356135,2243209984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205669403029,2243209984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205669412494,2243209984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205669425427,2243209984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205671506775,2243212032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205671532531,2243212032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205671564732,2243212032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205671606421,2243212032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205671641954,2243212032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205672489987,2243214080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205672526475,2243214080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205672564825,2243214080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205672582299,2243214080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205672594754,2243214080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205674460435,2243215872.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205674482759,2243215872.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205674510380,2243215872.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205674522751,2243215872.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205674536166,2243215872.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205676475367,2243217920.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205676493099,2243217920.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205676520065,2243217920.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205676542206,2243217920.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205676572398,2243217920.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205678558497,2243219968.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205678587253,2243219968.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205678595753,2243219968.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205678615298,2243219968.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205678629332,2243219968.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205680605044,2243222016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205680636256,2243222016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205680668208,2243222016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205680693412,2243222016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205680706706,2243222016.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205682719119,2243224064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205682748819,2243224064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205682763599,2243224064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205682789081,2243224064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205682797494,2243224064.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205684728839,2243226112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205684747736,2243226112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205684761369,2243226112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205684774728,2243226112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205684782080,2243226112.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205686810266,2243227904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205686829057,2243227904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205686838634,2243227904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205686851736,2243227904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205686860615,2243227904.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205688800567,2243229952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205688818515,2243229952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205688848896,2243229952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205688870729,2243229952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205688884023,2243229952.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205690894678,2243232000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205690919161,2243232000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205690942855,2243232000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205690983498,2243232000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205691018089,2243232000.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205692925213,2243234048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205692939170,2243234048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205692955587,2243234048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205692972094,2243234048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205692987962,2243234048.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205695049410,2243236096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205695081120,2243236096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205695099336,2243236096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205695112323,2243236096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205695124962,2243236096.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205696996680,2243237888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205697025785,2243237888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205697036684,2243237888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205697052852,2243237888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205697101769,2243237888.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205699094351,2243239936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205699114230,2243239936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205699127394,2243239936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205699143258,2243239936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205699162863,2243239936.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205701130289,2243241984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205701147209,2243241984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205701230586,2243241984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205701240328,2243241984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205701247488,2243241984.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205703167834,2243244032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205703182193,2243244032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205703193002,2243244032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205703204042,2243244032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205703217479,2243244032.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205705173260,2243246080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205705197251,2243246080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205705209972,2243246080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205705230745,2243246080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205705245234,2243246080.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205707232120,2243248128.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205707245027,2243248128.0,64.4980621338,0.0,60.0,57.6888198853,68.0
1651798205707253971,2243248128.0,64.4980621338,0.0,60.0,57.6888198853,68.0
